,time: 00-C1_50kHz-ND1-2.03uW-300s_0.25ns.dat,density: 00-C1_50kHz-ND1-2.03uW-300s_0.25ns.dat,qfls: 00-C1_50kHz-ND1-2.03uW-300s_0.25ns.dat,tau_diff: 00-C1_50kHz-ND1-2.03uW-300s_0.25ns.dat,time: 01-C2_50kHz-ND1-2.03uW-300s_0.25ns.dat,density: 01-C2_50kHz-ND1-2.03uW-300s_0.25ns.dat,qfls: 01-C2_50kHz-ND1-2.03uW-300s_0.25ns.dat,tau_diff: 01-C2_50kHz-ND1-2.03uW-300s_0.25ns.dat,time: 02-EA1_50kHz-ND1-2.03uW-300s_0.25ns.dat,density: 02-EA1_50kHz-ND1-2.03uW-300s_0.25ns.dat,qfls: 02-EA1_50kHz-ND1-2.03uW-300s_0.25ns.dat,tau_diff: 02-EA1_50kHz-ND1-2.03uW-300s_0.25ns.dat,time: 03-EA2_50kHz-ND1-2.03uW-300s_0.25ns.dat,density: 03-EA2_50kHz-ND1-2.03uW-300s_0.25ns.dat,qfls: 03-EA2_50kHz-ND1-2.03uW-300s_0.25ns.dat,tau_diff: 03-EA2_50kHz-ND1-2.03uW-300s_0.25ns.dat
0,2.5e-10,1301874517798527.8,1.0135248097517928,2.754984354501346e-08,2.5e-10,1301874517798527.8,1.0135248097517928,3.6459440399235524e-08,2.5e-10,1301874517798527.8,1.0135248097517928,3.150471458186079e-08,2.5e-10,1301874517798527.8,1.0135248097517928,1.9117426042938186e-08
1,5e-10,1290114147568784.5,1.0130220845737943,2.807749083823318e-08,5e-10,1292978184957768.5,1.0131449355724762,3.691623357352392e-08,5e-10,1291584607420436.5,1.0130851930092253,3.189789589002261e-08,5e-10,1284960641100440.8,1.012800339837857,1.9878969939952252e-08
2,7.500000000000001e-10,1278678050758549.0,1.0125288068774432,2.8617849136543677e-08,7.500000000000001e-10,1284251604229629.5,1.0127697618708467,3.7382591383273703e-08,7.500000000000001e-10,1281501368647768.5,1.0126509950907245,3.229939048765754e-08,7.500000000000001e-10,1268902031041550.5,1.0121036236578018,2.0653682068795224e-08
3,1e-09,1267556415353486.5,1.0120448431828302,2.917097979701935e-08,1e-09,1275691691513113.2,1.0123992685613272,3.785865918826978e-08,1e-09,1271620728053619.0,1.012222194429446,3.270932919806351e-08,1e-09,1253635342959551.0,1.0114330410491479,2.143956724561523e-08
4,1.25e-09,1256739669343961.5,1.0115700562508734,2.9736931127800058e-08,1.25e-09,1267295402830266.0,1.0120334341578658,3.834458208032511e-08,1.25e-09,1261938677343328.8,1.0117987678309934,3.31278428543667e-08,1.25e-09,1239101997514701.0,1.0107870392039926,2.223458683758921e-08
5,1.5000000000000002e-09,1246218478559651.8,1.0111043054327922,3.0315737955042423e-08,1.5000000000000002e-09,1259059734155769.5,1.0116722358020982,3.884050475389931e-08,1.5000000000000002e-09,1252451272638815.2,1.0113806905036866,3.355506220023184e-08,1.5000000000000002e-09,1225247884002524.0,1.010164135792242,2.303668938781424e-08
6,1.7500000000000002e-09,1235983744377305.0,1.0106474470175182,3.0907421228645684e-08,1.7500000000000002e-09,1250981721249141.5,1.0113156492930466,3.9346571371869083e-08,1.7500000000000002e-09,1243154633775787.5,1.010967936090735,3.3991117786966913e-08,1.7500000000000002e-09,1212023072293054.2,1.0095629209315975,2.3843841050506676e-08
7,2e-09,1226026601300990.0,1.0101993345756053,3.1511987670469826e-08,2e-09,1243058439488803.8,1.0109636491182636,3.9862925426533304e-08,2e-09,1234044943612864.2,1.010560476704233,3.443613986698358e-08,2e-09,1199381534636582.5,1.0089820581431457,2.4654054935883452e-08
8,2.2500000000000003e-09,1216338414415243.8,1.0097598192982817,3.2129429468844e-08,2.2500000000000003e-09,1235287003707307.0,1.0106162084863533,4.0389709595754757e-08,2.2500000000000003e-09,1225118447351640.5,1.0101582829608722,3.489025828371438e-08,2.2500000000000003e-09,1187280878332492.8,1.008420284429409,2.546541853527327e-08
9,2.5e-09,1206910776712516.5,1.0093287503303927,3.2759724022744464e-08,2.5e-09,1227664568027018.5,1.010273299360771,4.0927065594439375e-08,2.5e-09,1216371451866784.2,1.0097613240192853,3.5353602357893885e-08,2.5e-09,1175682090023222.2,1.0078764096063497,2.627611850683664e-08
10,2.7500000000000002e-09,1197735506297217.2,1.008905975096072,3.340283373901256e-08,2.7500000000000002e-09,1220188325695608.2,1.0099348924948295,4.147513402124768e-08,2.7500000000000002e-09,1207800325045272.5,1.0093695676189107,3.582630077038407e-08,2.7500000000000002e-09,1164549292155578.8,1.0073493150129686,2.7084462241700294e-08
11,3.0000000000000004e-09,1188804643469556.0,1.008491339616094,3.405870588559063e-08,3.0000000000000004e-09,1212855508920698.8,1.0096009574678104,4.203405420071258e-08,3.0000000000000004e-09,1199401495133915.0,1.0089829801202805,3.630848144145016e-08,3.0000000000000004e-09,1153849511950758.8,1.006837951712623,2.7888895789155135e-08
12,3.25e-09,1180110447693139.5,1.0080846888159571,3.472727250340629e-08,3.25e-09,1205663388703064.5,1.0092714627221009,4.260396402080203e-08,3.25e-09,1191171450094350.5,1.0086015265466206,3.680027140661779e-08,3.25e-09,1143552463044845.5,1.0063413382896782,2.8688017886500617e-08
13,3.5000000000000003e-09,1171645394450995.2,1.0076858668238573,3.5408450379371366e-08,3.5000000000000003e-09,1198609274667810.2,1.0089463756012587,4.318499976603074e-08,3.5000000000000003e-09,1183106736964734.0,1.008225170626661,3.730179668917391e-08,3.5000000000000003e-09,1133630339804580.0,1.0058585583341304,2.9480590003771764e-08
14,3.7500000000000005e-09,1163402171995347.8,1.0072947172578186,3.6102141082247366e-08,3.7500000000000005e-09,1191690514892974.0,1.0086256623889154,4.3777295946196325e-08,3.7500000000000005e-09,1175203961227378.8,1.007853874838541,3.7813182169338795e-08,3.7500000000000005e-09,1124057624188839.5,1.0053887576958724,3.026554246636495e-08
15,4e-09,1155373677996998.0,1.0069110835013482,3.680823106310441e-08,4e-09,1184904495735044.8,1.0083092883484306,4.438098512097302e-08,4e-09,1167459786181650.8,1.0074876004547038,3.833455145024679e-08,4e-09,1114810904913867.2,1.004931141579611,3.104197685222351e-08
16,4.25e-09,1147553016100681.0,1.0065348089670938,3.7526591821295766e-08,4.25e-09,1178248641650907.0,1.0079972177631957,4.4996197720371685e-08,4.25e-09,1159870932321454.0,1.0071263075876677,3.8866026720774415e-08,4.25e-09,1105868708588634.5,1.0044849715413453,3.180916496943414e-08
